#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.26Z,0.9947317532408813,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.276Z,0.7873039083825001,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.292Z,0.5118513209621542,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.308Z,0.6510241314653791,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.324Z,0.3930989007006744,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.34Z,0.5936920234621019,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.356Z,0.22000291474345757,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.372Z,0.2573957562923699,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.388Z,0.30576164366524533,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.404Z,0.24923157171932936,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.419Z,0.13635618196024224,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.435Z,0.16725188995674645,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.45Z,0.18468656507961867,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.466Z,0.07923280834698992,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.482Z,0.12033367520051624,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.497Z,0.16709895159478905,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.512Z,0.029131263548234587,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.528Z,-0.052158232237076815,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.544Z,0.22475162524659348,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.559Z,0.0375517544683959,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.575Z,0.07067601306315716,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.591Z,0.20857549183775997,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.606Z,0.07832041317809008,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.621Z,0.25207174296260143,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.637Z,0.43140158739421547,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.652Z,0.612243958086155,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.668Z,0.44013243248254413,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.684Z,0.844200229559177,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.7Z,0.9184254768574566,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.716Z,0.925577936895363,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.732Z,1.067431627899373,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.748Z,0.9657361074056785,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.764Z,1.2398292872620318,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.78Z,1.3718816685647741,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.795Z,1.3654525641294182,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.811Z,1.5992251247342226,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.827Z,1.5915638235542924,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.842Z,1.5923355727284134,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.858Z,1.7021775210854404,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.873Z,1.8371848698230662,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.889Z,1.8088034147467118,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.905Z,1.9026799339824876,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.921Z,2.0542176433670027,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.936Z,1.7756507295928246,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.952Z,1.7995747051668718,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.968Z,2.0705227288489128,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:36.984Z,2.198719868620145,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37Z,1.9336948286749633,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.016Z,1.8060997933280443,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.032Z,1.9729425338264157,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.048Z,2.08222320406882,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.064Z,1.8432460163884914,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.08Z,1.7027864874635652,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.096Z,1.6099693902998242,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.112Z,1.7776605813807043,value,sim_sensor,36ff60040a31,sim_sensor
,,0,2022-04-30T12:03:36.250046176Z,2022-04-30T12:04:36.250046176Z,2022-04-30T12:03:37.128Z,1.5507852266115412,value,sim_sensor,36ff60040a31,sim_sensor
